0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0.2
0.17,0.2
0.18,0.2
0.19,0.2
0.2,0.2
0.21,0.4
0.22,0.4
0.23,0.8
0.24,1
0.25,2.2
0.26,2.8
0.27,3
0.28,3
0.29,2.8
0.3,1.8
0.31,0.8
0.32,0.6
0.33,0.4
0.34,0.6
0.35,0.4
0.36,0.4
0.37,0.8
0.38,1.2
0.39,1.4
0.4,1.6
0.41,2.6
0.42,2.4
0.43,2
0.44,3.2
0.45,5
0.46,6.4
0.47,13.6
0.48,29.8
0.49,48.2
0.5,69.2
0.51,82.6
0.52,88.4
0.53,80
0.54,61.8
0.55,40.8
0.56,25.8
0.57,13.2
0.58,6.4
0.59,6
0.6,5.6
0.61,7.6
0.62,8
0.63,7.6
0.64,7.4
0.65,8.4
0.66,6.8
0.67,7.6
0.68,8
0.69,7.4
0.7,5.2
0.71,4.6
0.72,3.6
0.73,5.4
0.74,7.2
0.75,9.8
0.76,12.8
0.77,14.2
0.78,13.8
0.79,12.6
0.8,10.4
0.81,8
0.82,6
0.83,3.4
0.84,2.2
0.85,1.6
0.86,0.4
0.87,0.4
0.88,0.8
0.89,0.8
0.9,1.2
0.91,1.8
0.92,1.8
0.93,1.6
0.94,1.8
0.95,1.2
0.96,0.8
0.97,0.8
0.98,1.6
0.99,1.4
1,1.6
1.01,1.6
1.02,1.6
1.03,1
1.04,1.2
1.05,1.2
1.06,2.2
1.07,2.6
1.08,2.8
1.09,3.4
1.1,3.6
1.11,2.4
1.12,2.2
1.13,1.6
1.14,1.2
1.15,1.6
1.16,2.4
1.17,3.6
1.18,3.8
1.19,6.4
1.2,10
1.21,14
1.22,18.8
1.23,26.4
1.24,31.4
1.25,32
1.26,30.8
1.27,27.8
1.28,22.2
1.29,14.8
1.3,10.8
1.31,7.4
1.32,4
1.33,2.4
1.34,2
1.35,1.4
1.36,1.6
1.37,1.6
1.38,1.6
1.39,1.4
1.4,1.2
1.41,1.2
1.42,1.8
1.43,1.6
1.44,2.4
1.45,2.6
1.46,3.2
1.47,3.2
1.48,3
1.49,2.2
1.5,2.2
1.51,1.6
1.52,1.4
1.53,1.2
1.54,1.6
1.55,1.6
1.56,1.6
1.57,1.6
1.58,2
1.59,2.2
1.6,2.4
1.61,2.8
1.62,2.8
1.63,2.4
1.64,2.8
1.65,2.8
1.66,2
1.67,2.2
1.68,2.6
1.69,2.4
1.7,2.6
1.71,3.2
1.72,3.2
1.73,3.4
1.74,2.6
1.75,2.8
1.76,2.4
1.77,1.8
1.78,1.2
1.79,2
1.8,1.8
1.81,2
1.82,2
1.83,2.6
1.84,2.4
1.85,2
1.86,2.2
1.87,2.6
1.88,3.2
1.89,3
1.9,3
1.91,3.2
1.92,3
1.93,2.2
1.94,2.6
1.95,2.6
1.96,2.2
1.97,2.8
1.98,3.2
1.99,3.2
2,3.4
2.01,3.2
2.02,2.8
2.03,2.4
2.04,2
2.05,2.4
2.06,2.4
2.07,2.4
2.08,2.4
2.09,3
2.1,3.2
2.11,3.4
2.12,3.4
2.13,3.8
2.14,4.2
2.15,3.2
2.16,3.4
2.17,3.8
2.18,3.4
2.19,2.6
2.2,3.4
2.21,3.2
2.22,3.8
2.23,4
2.24,3.8
2.25,3.2
2.26,3.4
2.27,2.4
2.28,2.6
2.29,2.6
2.3,3.4
2.31,3
2.32,3
2.33,3.4
2.34,4
2.35,3.4
2.36,3.4
2.37,3.8
2.38,3
2.39,2.6
2.4,2.8
2.41,3
2.42,3
2.43,3.4
2.44,3.2
2.45,3
2.46,3
2.47,2.4
2.48,2.8
2.49,3.4
2.5,3
2.51,2.8
2.52,3.2
2.53,2.8
2.54,2.6
2.55,2.6
2.56,2.6
2.57,2.8
2.58,3
2.59,2.8
2.6,3
2.61,3
2.62,3.4
2.63,2.8
2.64,3
2.65,2.6
2.66,2.6
2.67,2
2.68,2.6
2.69,2.2
2.7,3.4
2.71,3.6
2.72,3.6
2.73,3.6
2.74,4
2.75,3.8
2.76,4
2.77,4.4
2.78,3.6
2.79,3.4
2.8,3
2.81,2.8
2.82,2
2.83,2.2
2.84,1.8
2.85,1.8
2.86,2
2.87,2.4
2.88,2.4
2.89,2.2
2.9,2.4
2.91,2.2
2.92,1.6
2.93,2.2
2.94,2.6
2.95,2.2
2.96,2.6
2.97,3
2.98,2.8
2.99,3
3,2.8
3.01,2.2
3.02,2.8
3.03,2.6
3.04,2.4
3.05,3
3.06,3.4
3.07,3.2
3.08,3.6
3.09,3.8
3.1,3.8
3.11,3.6
3.12,3.8
3.13,3.2
3.14,3
3.15,2.8
3.16,3.6
3.17,3.6
3.18,4.4
3.19,4.6
3.2,4.6
3.21,4.2
3.22,3.4
3.23,2.8
3.24,2.8
3.25,2.6
3.26,3
3.27,3.4
3.28,3.8
3.29,3.6
3.3,4.6
3.31,4.2
3.32,4.6
3.33,3.8
3.34,4.2
3.35,2.8
3.36,3
3.37,2.6
3.38,2.8
3.39,2.6
3.4,3.2
3.41,3
3.42,2.8
3.43,2.8
3.44,2.6
3.45,3.2
3.46,2.8
3.47,3.2
3.48,3.2
3.49,3
3.5,1.8
3.51,1.6
3.52,1
3.53,1
3.54,1
3.55,2.4
3.56,2.8
3.57,3.6
3.58,3.4
3.59,3.4
3.6,2.2
3.61,2.2
3.62,2
3.63,2.2
3.64,2.4
3.65,2.8
3.66,3
3.67,3
3.68,3.4
3.69,4.2
3.7,3.6
3.71,3
3.72,2.6
3.73,2.4
3.74,1.8
3.75,2.4
3.76,3.2
3.77,3.6
3.78,3.2
3.79,3
3.8,2.8
3.81,2.6
3.82,2
3.83,2.6
3.84,2.4
3.85,2.2
3.86,1.4
3.87,1.4
3.88,1.4
3.89,1.8
3.9,2
3.91,2.8
3.92,3.2
3.93,3
3.94,2.6
3.95,3.4
3.96,2.6
3.97,2.4
3.98,2.4
3.99,2.8
4,1.8
4.01,2
4.02,2
4.03,2
4.04,1.6
4.05,1.6
4.06,1.4
4.07,1.8
4.08,1.6
4.09,2.2
4.1,2.4
4.11,2.4
4.12,2.2
4.13,2.2
4.14,2.2
4.15,2.2
4.16,2.4
4.17,2.4
4.18,2.6
4.19,2.6
4.2,2.6
4.21,2.6
4.22,2.2
4.23,1.6
4.24,1.6
4.25,1.2
4.26,1.6
4.27,1.6
4.28,1.8
4.29,1.8
4.3,2.6
4.31,2.4
4.32,2.6
4.33,3
4.34,2.4
4.35,2
4.36,1.6
4.37,1.8
4.38,2.2
4.39,2.4
4.4,2.6
4.41,2.8
4.42,3
4.43,2.2
4.44,2.8
4.45,2.6
4.46,2.6
4.47,2.2
4.48,2.4
4.49,2
4.5,1.8
4.51,1.6
4.52,1.8
4.53,2
4.54,2.8
4.55,3
4.56,3.4
4.57,3
4.58,3
4.59,2.2
4.6,2.6
4.61,2.6
4.62,2.6
4.63,2.6
4.64,3
4.65,2.6
4.66,3
4.67,3
4.68,3.2
4.69,2.4
4.7,2.2
4.71,2
4.72,2.2
4.73,2
4.74,1.8
4.75,2.6
4.76,2.2
4.77,2
4.78,2
4.79,2.6
4.8,2
4.81,2.4
4.82,2.6
4.83,2.4
4.84,2.8
4.85,2.6
4.86,2.8
4.87,2.8
4.88,2.8
4.89,2
4.9,2.4
4.91,1.8
4.92,1.4
4.93,1.2
5.16,1.8
